external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-04891,alemã,,,4970,,kaikki_no_match
wfpt-04121,alemães,,,4196,,kaikki_no_match
wfpt-02294,alemão,noun,,2348,неме́цкий,kaikki_pt_ru_enriched
wfpt-11669,alencar,,,11790,,kaikki_no_match
wfpt-11090,alergia,noun,,11204,аллергия,kaikki_pt_ru_enriched
wfpt-02496,alerta,,,2551,,kaikki_no_match
wfpt-10884,alertar,,,10997,,kaikki_no_match
wfpt-10012,alessandro,noun,,10121,александр,kaikki_pt_ru_enriched
wfpt-02407,alex,,,2461,,kaikki_no_match
wfpt-07148,alexander,,,7239,,kaikki_no_match
wfpt-02554,alexandre,noun,,2609,александр,kaikki_pt_ru_enriched
wfpt-10013,alexandria,,,10122,,kaikki_no_match
wfpt-07270,alfa,,,7363,,kaikki_no_match
wfpt-10713,alfabetização,,,10825,,kaikki_no_match
wfpt-10531,alfabeto,noun,,10643,алфавит,kaikki_pt_ru_enriched
wfpt-10885,alfred,,,10998,,kaikki_no_match
wfpt-07761,alfredo,noun,,7856,альфред,kaikki_pt_ru_enriched
wfpt-08746,algarve,,,8846,,kaikki_no_match
wfpt-00210,algo,,,222,,kaikki_no_match
wfpt-05509,algodão,noun,,5592,вата,kaikki_pt_ru_enriched
wfpt-11266,algoritmo,noun,,11383,алгоритм,kaikki_pt_ru_enriched
wfpt-07903,alguem,,,7998,,kaikki_no_match
wfpt-00354,algum,,,371,,kaikki_no_match
wfpt-00286,alguma,,,302,,kaikki_no_match
wfpt-00214,algumas,,,226,,kaikki_no_match
wfpt-00158,alguns,,,168,,kaikki_no_match
wfpt-00140,alguém,,,150,,kaikki_no_match
wfpt-11866,alheia,,,11988,,kaikki_no_match
wfpt-08474,alho,,,8571,,kaikki_no_match
wfpt-00566,ali,,,593,,kaikki_no_match
wfpt-10014,aliada,,,10123,,kaikki_no_match
wfpt-05084,aliado,noun,,5163,союзник,kaikki_pt_ru_enriched
wfpt-03886,aliados,,,3957,,kaikki_no_match
wfpt-02757,aliança,,,2816,,kaikki_no_match
wfpt-09685,alianças,,,9793,,kaikki_no_match
wfpt-02991,alice,,,3053,,kaikki_no_match
wfpt-08189,alicia,,,8285,,kaikki_no_match
wfpt-08615,alimenta,,,8713,,kaikki_no_match
wfpt-11670,alimentam,,,11791,,kaikki_no_match
wfpt-02604,alimentar,verb,,2660,кормить,kaikki_pt_ru_enriched
wfpt-11091,alimentares,,,11205,,kaikki_no_match
wfpt-03385,alimentação,,,3449,,kaikki_no_match
wfpt-05621,alimento,noun,,5704,пища,kaikki_pt_ru_enriched
wfpt-01718,alimentos,,,1767,,kaikki_no_match
wfpt-09686,aline,,,9794,,kaikki_no_match
wfpt-09034,aliviar,,,9136,,kaikki_no_match
wfpt-02605,aliás,,,2661,,kaikki_no_match
wfpt-01947,all,,,2001,,kaikki_no_match
wfpt-10714,allan,,,10826,,kaikki_no_match
wfpt-08895,allen,,,8996,,kaikki_no_match
wfpt-01166,alma,noun,,1205,душа,kaikki_pt_ru_enriched
wfpt-04892,almas,,,4971,,kaikki_no_match
wfpt-02923,almeida,,,2984,,kaikki_no_match
wfpt-07149,almirante,,,7240,,kaikki_no_match
wfpt-06174,almoçar,,,6259,,kaikki_no_match
wfpt-01784,almoço,noun,,1835,обед,kaikki_pt_ru_enriched
wfpt-09511,alojamento,,,9617,,kaikki_no_match
wfpt-11460,alone,,,11577,,kaikki_no_match
wfpt-11267,alpha,,,11384,,kaikki_no_match
wfpt-00784,alta,,,818,,kaikki_no_match
wfpt-02862,altamente,,,2921,,kaikki_no_match
wfpt-08045,altar,noun,,8141,алтарь,kaikki_pt_ru_enriched
wfpt-02992,altas,,,3054,,kaikki_no_match
wfpt-11461,alterada,,,11578,,kaikki_no_match
wfpt-09841,alterado,,,9950,,kaikki_no_match
wfpt-05510,alterar,verb,,5593,менять,kaikki_pt_ru_enriched
wfpt-05511,alteração,noun,,5594,изменение,kaikki_pt_ru_enriched
wfpt-03386,alterações,,,3450,,kaikki_no_match
wfpt-02247,alternativa,,,2301,,kaikki_no_match
wfpt-04046,alternativas,,,4120,,kaikki_no_match
wfpt-08046,alternativo,,,8142,,kaikki_no_match
wfpt-11671,alternativos,,,11792,,kaikki_no_match
wfpt-06281,altitude,,,6368,,kaikki_no_match
wfpt-00493,alto,,,516,,kaikki_no_match
wfpt-02248,altos,,,2302,,kaikki_no_match
wfpt-00871,altura,,,905,,kaikki_no_match
wfpt-10015,alturas,,,10124,,kaikki_no_match
wfpt-09842,alugar,,,9951,,kaikki_no_match
wfpt-05191,aluguel,noun,,5271,аренда,kaikki_pt_ru_enriched
